"tree","spp","dbh","cr","logs","ht"
116,"ash",7.06356375048708,22.3356693090202,3555555555,52.5137451115766
7,"beech",8.79084241685981,72.7255741029886,5555555555,61.7814009958227
37,"beech",7.79009099869911,56.694191052897,3555555555,63.5554225530323
3,"beech",6.78587222701141,53.8361226155709,3355555555,61.6079419905377
38,"beech",5.40849753824021,33.0556474382462,5555555555,52.1520623207371
15,"beech",5.35400864682821,28.2179268796009,5555555555,49.6590359820926
28,"beech",4.93004062480952,22.4302300438615,3555555555,48.0920161323176
1,"beech",4.85579497264288,26.3037105155393,5555555555,49.4787238060657
19,"beech",4.09068567872832,18.3617415909178,3555555555,47.9819339640084
29,"beech",3.76940543262141,29.2604614946269,3355555555,46.9672911643733
18,"beech",3.30111658079659,29.1496947434106,5555555555,46.4015228837929
20,"beech",3.28784078125553,28.3094784009985,5555555555,45.3858335346365
31,"beech",2.98569217806428,32.4486673272301,5555555555,46.2501728192691
30,"beech",2.84352533237144,14.5267436551784,3555555555,42.8898042405837
5,"beech",2.28995167441544,23.3556210417479,5555555555,41.8184857074781
47,"hard maple",5.03408213247079,43.3870389505192,2235555555,47.259172559222
60,"hard maple",4.87270713383715,40.6358122404691,1122555555,43.2896608262277
71,"hard maple",4.59857733253321,38.9550946199809,2225555555,43.1896063729955
54,"hard maple",4.37942628449915,39.557615767742,3335555555,46.2495401851962
73,"hard maple",3.9880337266771,37.3213881068299,2553555555,41.7754216403997
61,"hard maple",3.69822680911123,17.6448280892062,1225555555,44.7234894691674
66,"hard maple",3.56788857777733,37.213554945499,2225555555,41.0913992507476
45,"hard maple",3.35538065483395,40.6715595242575,2335555555,45.2158289361861
63,"hard maple",3.16599566698225,40.2791098923157,5253555555,40.6033199562388
86,"hard maple",2.99076750961987,39.7537315618468,1225555555,41.2728371232443
49,"hard maple",2.84311799680061,23.7963939818723,3335555555,44.0156321472153
74,"hard maple",2.56396761405867,37.167966742779,2255255555,42.1725286966834
147,"other hardwood",7.94387636273007,26.2008453638201,5555555555,54.3008661316217
136,"paper birch",8.99129447438627,38.3400517262186,2225555555,48.8070299799361
126,"paper birch",8.36374979496043,32.7691494798902,1123555555,50.5026384836654
127,"paper birch",6.44953716231431,23.0629103525904,1235555555,49.6337565782361
118,"soft maple",10.5024309903056,47.3090880140157,2225555555,54.7085372935423
119,"soft maple",8.65443912743695,44.3619990131657,2235555555,51.8155765596679
122,"soft maple",7.78141965879663,37.6922680945272,2225555555,50.2141762256468
120,"soft maple",5.38049913478644,33.7846794567845,2235555555,49.7006329462218
88,"striped maple",5.91645618284534,36.2242861246934,5555555555,54.8101320170532
112,"yellow birch",13.5349605143738,48.71079903088,2255555555,59.2600045860114
104,"yellow birch",11.0586872770393,44.945835968109,1125555555,59.4452907846695
99,"yellow birch",8.30040034044053,36.7049990198089,1223555555,53.2258192504669
105,"yellow birch",6.1836273844033,35.6853504024485,5235555555,50.6443119513038
111,"yellow birch",5.90072673846078,32.5335672452488,1355555555,54.9675478191949
94,"yellow birch",4.71868204916637,33.1818201732585,1123555555,51.7851407385264
101,"yellow birch",4.04675430166136,29.3540513410002,3225555555,54.0265931372763
108,"yellow birch",3.689893934539,29.4109236324226,2555555555,51.7154155830364
