"","year","standing","harvest"
"1",30,3.06856020234876,0
"2",30.1,2.97439724170024,0.0731318105348669
"3",35,8.31875575636587,0
"4",35.1,8.26034908520356,0
"5",40,26.9033908307854,0
"6",40.1,26.7144999019704,0
"7",45,45.3861328737052,0
"8",45.1,29.6243070721316,15.552360421391
"9",50,40.7704647277556,0
"10",50.1,18.1324179303663,22.5098374250597
"11",55,22.0199991052381,0
"12",55.1,4.54441358194428,17.4434532166602
"13",60,6.86123115369084,0
"14",60.1,6.28929813813785,0.527463107028919
"15",65,7.63363077549014,0
"16",65.1,3.83575309822669,3.770756115262
"17",70,4.55602208488261,0
"18",70.1,1.61534109276021,2.92925935666285
"19",75,1.86954834078367,0
"20",75.1,0.641828878477549,1.22318126569226
"21",80,0.785815388775823,0
"22",80.1,0.78029811403538,0
"23",85,0.797030452155874,0
"24",85.1,0.791434435529254,0
"25",90,0.759626224314007,0
"26",90.1,0.754292825860059,0
"27",95,0.678750395647889,0
"28",95.1,0.673974837263311,1.00664803412917e-05
"29",100,0.588722999242752,0
"30",100.1,0.584589526445916,0
"31",105,0.498711860598064,0
"32",105.1,0.168870599237121,0.32864722349924
"33",110,0.145915651782888,0
"34",110.1,0.00666006011722576,0.139208500200498
"35",115,0.00567527724774669,0
"36",115.1,NA,0.00567527724774669
