"","year","standing","harvest"
"1",30,1.85777765062918,0
"2",30.1,1.84473404032123,0
"3",35,3.28923268181196,0
"4",35.1,3.26613870751468,0
"5",40,4.6505004477669,0
"6",40.1,3.34743005301228,1.27940163156696
"7",45,5.45145557850737,0
"8",45.1,3.68452109693064,1.74088223973087
"9",50,4.76341054169283,0
"10",50.1,4.17507110593635,0.558818648844399
"11",55,4.85077277317088,0
"12",55.1,4.18748140963134,0.633682826761264
"13",60,4.55309774905143,0
"14",60.1,3.59415068653079,0.933533805152134
"15",65,4.05863451732035,0
"16",65.1,3.41760850919814,0.616861032247789
"17",70,3.65415755302737,0
"18",70.1,3.25364737560696,0.377504525917671
"19",75,3.35162754411849,0
"20",75.1,0.704459104383013,2.64218740190855
"21",80,0.72386083421442,0
"22",80.1,0.702616574258501,0.0162762501560174
"23",85,0.683641580186583,0
"24",85.1,0.598661964719118,0.0807466403050276
"25",90,0.576684875440242,0
"26",90.1,0.429718689435261,0.143927762576714
"27",95,0.409965884774711,0
"28",95.1,0.203857373929713,0.204667091059912
"29",100,0.203806914443236,0
"30",100.1,0.202353920167505,2.220500136492e-05
"31",105,0.196450728421147,0
"32",105.1,0.195071431633198,0
"33",110,0.187951746514371,0
"34",110.1,0.16737380799616,0.0193944840583601
"35",115,0.162556209382393,0
"36",115.1,0.161414888811763,0
"37",120,0.156521610294437,0
"38",120.1,0.0358491962986261,0.120418934124918
"39",125,0.0330486986934044,0
"40",125.1,0.0328166610505814,0
"41",130,0.0302731509816563,0
"42",130.1,NA,0.0302731509816563
