"","year","standing","harvest"
"1",30,3.8334142005201,0
"2",30.1,1.86297866042984,1.95726292705904
"3",35,3.74208996113542,0
"4",35.1,3.29794710672453,0.420823971614743
"5",40,5.6989548279565,0
"6",40.1,5.31036017208565,0.351046550200595
"7",45,7.4278866380285,0
"8",45.1,7.37573483251765,0
"9",50,9.76483029794646,0
"10",50.1,8.68159790250849,1.02184718899874
"11",55,10.878374796932,0
"12",55.1,10.7369945713634,0.0654618709405969
"13",60,13.1798178457202,0
"14",60.1,11.125038464111,1.97611727465233
"15",65,13.6555918475855,0
"16",65.1,13.559714809489,0
"17",70,15.6163679858525,0
"18",70.1,4.55195480437054,11.0322275529254
"19",75,5.22755805494899,0
"20",75.1,4.86297087412135,0.3302024426299
"21",80,5.21694249870419,0
"22",80.1,0.800631377142091,4.41065007587449
"23",85,0.814866204688351,0
"24",85.1,0.808006802566164,0.00114620681680616
"25",90,0.801794615737587,0
"26",90.1,0.796165149525016,0
"27",95,0.784882342008293,0
"28",95.1,0.612072249862891,0.168482296521201
"29",100,0.621473343207872,0
"30",100.1,0.33014947445652,0.288989472033963
"31",105,0.33079134906927,0
"32",105.1,0.328468835689352,0
"33",110,0.329869036781767,0
"34",110.1,0.165649164929362,0.163048611872403
"35",115,0.184203770269964,0
"36",115.1,0.182910460386599,0
"37",120,0.196628882609288,0
"38",120.1,0.195248334986072,0
"39",125,0.198294475593001,0
"40",125.1,0.0421994655399208,0.155796629163654
"41",130,0.043314201212774,0
"42",130.1,0.0430100886289953,0
"43",135,0.0419981852872739,0
"44",135.1,0.0417033125599901,0
"45",140,0.0383752578874304,0
"46",140.1,0.0377150030006799,0.000393582406516894
"47",145,0.0329835341702653,0
