"","x"
"1",1.14998830165907
"2",2.52069995387532
"3",1.54905309967517
"4",1.13272642732688
"5",1.68051160882489
"6",0.983565473645675
"7",1.18449060297792
"8",1.71151472382147
"9",1.41609679393142
"10",0.804396276817565
"11",1.11192447945529
"12",2.60761894208727
"13",1.19307449463441
"14",1.68380066503255
"15",1.03503791958865
"16",1.10395176680328
"17",0.877936350209447
"18",1.60405562357396
"19",1.17974000566923
"20",1.14454128273131
"21",0.820531941672576
"22",1.29271438194625
"23",2.10987327366699
"24",1.90146346133566
"25",2.34243189942286
"26",1.35423536440786
"27",0.966733812162883
"28",1.03855630717229
"29",1.07265998458765
"30",2.23491491785059
"31",0.847224177754397
"32",0.682016737825617
"33",0.843070094850748
"34",1.31857075818424
"35",0.839097099974813
"36",1.28664862991324
"37",0.91617290703233
"38",1.00323982480358
"39",1.73627418700238
"40",1.36975578472132
"41",1.33136151481941
"42",1.12015428415744
"43",1.55464528057766
"44",1.45582805623984
"45",1.4373854096598
"46",1.98347733290051
"47",1.35899701555416
"48",1.30733788894676
"49",0.794931128289178
"50",1.53236835687812
"51",1.23315870316542
"52",1.35774168725773
"53",1.06625277210218
"54",1.45661044861931
"55",1.74107137611553
"56",1.31053819467793
"57",1.10520667470009
"58",1.56180189455793
"59",0.626188602367117
"60",1.42182374212091
"61",1.05142018880689
"62",1.6204987058711
"63",1.38827786296301
"64",1.46529984289867
"65",1.34175570871872
"66",1.50433461888321
"67",5.25492588625663
"68",0.806697234347636
"69",0.641985758479441
"70",2.70298644173264
"71",3.15278915858081
"72",2.65404226368609
"73",0.550216821376305
"74",1.36720405454738
"75",1.21589885036138
"76",0.931376473553526
"77",2.33407955645415
"78",1.34457814874383
"79",7.12929109135993
"80",2.49544321495751
"81",2.12638896528832
"82",4.12743013955403
"83",2.44757912530679
"84",1.69616381947407
"85",4.94326699524951
"86",0.909971522983447
"87",4.33796684302066
"88",1.35772771132266
"89",2.0839493328084
"90",3.23197039953656
"91",2.65969433826207
"92",1.73808742908843
"93",3.12421195995019
"94",2.46431087122256
"95",7.37286751928525
"96",2.34626655840675
"97",3.46225050667455
"98",6.66354390190813
"99",4.36619827511426
"100",1.35852396164202
"101",1.32942004079822
"102",0.661678901246214
"103",0.909743742718883
"104",1.97019621713822
"105",1.9615206665809
"106",2.09233044941303
"107",0.797950792389596
"108",1.6998899238216
"109",2.48317397308224
